numero_uai;nature_uai;ministere_tutelle;ministere_tutelle_libe;tutelle_2;tutelle_2_libe;secteur_public_prive;niveau_uai;niveau_uai_libe;commune;commune_libe;denomination_principale;patronyme_uai;numero_siren_siret_uai;date_ouverture;date_fermeture;lieu_dit_uai;adresse_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai
0010826T;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;01004;Ambérieu-en-Bugey;CTRE DE FORMATION D'APPRENTIS;CECOF BERNARD PALISSY;85052026300011;25288;;;52 avenue de la Libération;BP209;01502;AMBERIEU EN BUGEY CEDEX
0010856A;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;01289;Péronnas;CTRE DE FORMATION D'APPRENTIS;DE L'INDUSTRIE AFPMA;77931004400028;25288;;;1  ALLÉE DES TYRANDES;CS90002;01960;PERONNAS
0010965U;600;06;ministère de l'éducation nationale;36;ministère du travail, de l'emploi et de la formation professionnelle;PR;1;UAI célibataire;01053;Bourg-en-Bresse;CTRE DE FORMATION D'APPRENTIS;DU BTP AIN;41884676200056;26688;;;98  RUE DES COMPAGNONS;;01000;BOURG EN BRESSE
0021502X;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;02408;Laon;CTR DE FORMATION D APPRENTIS;DE LA CCIA;13002271800279;28034;;;3 rue DES MINIMES;;02000;LAON
0021739E;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;02408;Laon;CTR DE FORMATION D APPRENTIS;BTP CFA 02;50260294900047;27317;;;Chemin D AULNOIS;BP152;02000;LAON
0021923E;600;03;ministère de l'agriculture;;;PR;2;UAI mère;02408;Laon;CTR FORMATION APPRENTIS AGRI.;CFA.AGRICOLE;39964840100012;30719;;;1  RUE RENE BLONDELLE;;02007;LAON CEDEX
0030124U;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;03013;Avermes;CTR DE FORMATION D'APPRENTIS;I.F.I 03;41055004000019;25315;;;11 route de Paris;;03000;AVERMES
0030126W;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;03023;Bellerive-sur-Allier;CFA ECOLE DES METIERS DU BAT.;BTP CFA ALLIER;40222747400010;25315;;;12 ROUTE DE CHARMEIL;;03700;BELLERIVE SUR ALLIER
0031030D;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;03098;Désertines;CTR DE FORMATION D'APPRENTIS;AFPI - CFAI;77928324100056;32517;;;62 rue Henri Barbusse;BP17;03630;DESERTINES
0040161D;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;04070;Digne-les-Bains;CENTRE DE FORMATION DES APPREN;CAMPUS DE DIGNE - RENE VILLENE;18040003800022;25322;;;15  RUE MALDONNAT;BP126;04004;DIGNE LES BAINS CEDEX
0040548Z;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;04070;Digne-les-Bains;CENTRE DE FORMATION DES APPREN;CCI  ALPES DE HAUTE- PROVENCE;18040001200019;38961;;;60  BOULEVARD GASSENDI;;04000;DIGNE LES BAINS
0050503V;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;05061;Gap;CENTRE DE FORMATION DES APPREN;DES METIERS ET DE L'ARTISANAT;13002087800083;27799;;;10 ROUTE DE GRAFFINEL;;05000;GAP
0060862E;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;06123;Saint-Laurent-du-Var;CTR DE FORMATION D APPRENTIS;INST.DE FORM.PHARMACIE ET SANT;18060001700339;25265;;;120  BOULEVARD POINT DU JOUR;;06700;ST LAURENT DU VAR
0060916N;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;06004;Antibes;CTR DE FORMATION D APPRENTIS;BATIMENT ET TP DES A.M.;78285946600081;25693;;;80 RUE J JOANNON QUA 3 MOULINS;;06600;ANTIBES
0060918R;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;06088;Nice;CTR DE FORMATION D APPRENTIS;INST.DE FORMATION AUTOMOBILE;18130001300156;25693;;;45  ROUTE DE GRENOBLE;BP3217;06204;NICE CEDEX 3
0060920T;600;06;ministère de l'éducation nationale;;;PU;1;UAI célibataire;06029;Cannes;CTR DE FORMATION REGIONAL D'AP;FACULTE DES METIERS;21060029200648;25694;;;54 RUE DE CANNES;;06150;CANNES
0061603K;600;03;ministère de l'agriculture;;;PU;2;UAI mère;06004;Antibes;CFA REGIONAL AGRIC.;ANTIBES;19060793700074;31107;;;88  CHEMIN DES MAURES;;06600;ANTIBES
0061909T;600;06;ministère de l'éducation nationale;;;PU;2;UAI mère;06033;Carros;CTR DE FORMATION D APPRENTIS;METROPOLE COTE D'AZUR;20003019500123;36404;;;9 boulevard COLLEBELLE;;06510;CARROS
0061910U;600;06;ministère de l'éducation nationale;2;ministère de la culture;PR;1;UAI célibataire;06029;Cannes;CTR DE FORMATION D APPRENTIS;DANSE THEATRE VOIX;82454714500030;36404;;;5 RUE DE COLMAR;;06150;CANNES
0062087L;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;06088;Nice;CTR DE FORMATION D APPRENTIS;INFOSUPACA;;40787;;;0 boulevard MAURICE SLAMA;;06200;NICE
0062093T;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;06088;Nice;CTR DE FORMATION D APPRENTIS;REGIONAL DON BOSCO;30426539000019;40909;;;40 place DON BOSCO;;06046;NICE CEDEX 1
0062176H;600;06;ministère de l'éducation nationale;;;PU;1;UAI célibataire;06088;Nice;CTR DE FORMATION D APPRENTIS;ACADEMIE DE NICE;18061919900011;42979;;;53 avenue Cap de Croix;;06000;NICE
0070876P;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;07010;Annonay;CENTRE DE FORMATION D'APPRENTI;ARDÈCHE NORD SEPR;77990483800025;25322;;;58 chemin DE VILLEDIEU;;07100;ANNONAY
0071199R;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;07131;Lanas;CENTRE DE FORMATION D'APPRENTI;LANAS ANDRÉ FARGIER;18073001200044;27830;;;Route AERODROME;;07200;LANAS
0071376H;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;07102;Guilherand-Granges;CENTRE DE FORMATION D'APPRENTI;ADAPSS;77947068100023;34578;;;60 RUE DE NARVIK;;07500;GUILHERAND GRANGES
0080842X;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;08105;Charleville-Mézières;ALMEA FORMATION INTERPRO 08;CFA INTERPRODES ARDENNES;50923283100057;25315;;;129 avenue Charles de Gaulle;CS40105;08008;CHARLEVILLE MEZIERES CEDEX
0080972N;600;03;ministère de l'agriculture;;;PU;1;UAI célibataire;08362;Rethel;CTR DE FORMATION D'APPRENTIS;AGRICOLE DES ARDENNES;19080804800010;28874;;;ROUTE DE NOVION;;08300;RETHEL
0081065P;600;03;ministère de l'agriculture;;;PU;1;UAI célibataire;08385;Saint-Laurent;CTR DE FORMATION D'APPRENTIS;AGRICOLE SAINT-LAURENT;19080863400017;33662;;;27  RUE DU MUGUET;;08090;ST LAURENT
0081137T;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;08341;Poix-Terron;CTR DE FORMATION D APPRENTIS;BTP GRAND EST - LORRAINE 08;78334702400128;40057;;;134  GRANDE RUE;;08430;POIX TERRON
0090553C;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;09122;Foix;CTRE DE FORMATION D'APPRENTIS;CHAMBRE METIERS DE L'ARIEGE;18090003700037;27638;;;2 rue JEAN MOULIN LABARRE;BP26;09001;FOIX CEDEX
0090656P;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;09272;Saint-Paul-de-Jarrat;CTRE DE FORMATION D'APPRENTIS;IFA 09 CCI DE L'ARIEGE;13002247800064;36039;;;. quartier ST ANTOINE;;09000;ST PAUL DE JARRAT
0100715Y;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;10297;Pont-Sainte-Marie;ALMEA FORMATIONS INTERPRO 10;CFA INTERPRO DE L'AUBE;50923283100024;25265;;;9 rue ROBERT KELLER;;10150;PONT STE MARIE
0100824S;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;10297;Pont-Sainte-Marie;CTR DE FORMATION D'APPRENTIS A;BTP GRAND EST - LORRAINE 10;78334702400136;27094;;;34 rue DANTON;;10150;PONT STE MARIE
0100948B;600;03;ministère de l'agriculture;;;PU;2;UAI mère;10360;Saint-Pouange;CTR DE FORMATION D'APPRENTIS;AGRICOLE DE L'AUBE  CH. BALTET;19100687300043;28874;;;ROUTE DE VIELAINES;;10120;ST POUANGE
0101035W;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;10387;Troyes;CTR DE FORMATION D'APPRENTIS;DE LA PHARMACIE;39301114300020;33117;;;10 QUATER RUE DES BAS TREVOIS;BP40100;10002;TROYES CEDEX
0110681F;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;11203;Lézignan-Corbières;CTR DE FORMATION D APPRENTIS;INTERPROFESSIONNEL H MARTIN;18110003300024;25272;;;22 AVENUE DES GENETS;BP112;11205;LEZIGNAN CORBIERES CEDEX
0110884B;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;11203;Lézignan-Corbières;CTR DE FORMATION D APPRENTIS;BTP AUDE;51472700700023;28307;;;CHEMIN DE SAINT-ESTEVE;BP71;11204;LEZIGNAN CORBIERES CEDEX
0110943R;600;03;ministère de l'agriculture;;;PU;4;UAI mère et fille;11069;Carcassonne;CTR FORMATION APPRENTIS AGRIC.;DE L'AUDE;20000746600051;30926;;;ROUTE DE SAINT HILAIRE;;11000;CARCASSONNE
0111003F;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;11069;Carcassonne;CTR DE FORMATION D APPRENTIS;SPECIALISE LANGUEDOC-ROUSSILLO;38036912400033;35674;;;780  RUE ANTOINE DURAND;;11000;CARCASSONNE
0111060T;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;11262;Narbonne;CTR DE FORMATION D APPRENTIS;EDUC NAT  AUDE PYR-ORIENT;19110023900034;43101;;;2 rue Jean Moulin;BP828;11108;NARBONNE CEDEX
0120887Z;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;12176;Onet-le-Château;CTRE DE FORMATION D'APPRENTIS;CHAMBRE METIERS AVEYRON;18120003100027;25308;;;RUE DES METIERS;;12000;ONET LE CHATEAU
0121358L;600;03;ministère de l'agriculture;;;PU;2;UAI mère;12300;Villefranche-de-Rouergue;CTRE FORMATION APPRENTIS AGRIC;DE L'AVEYRON;19120621800056;32101;;;14  CHEMIN DE BASTONIES;BP413;12204;VILLEFRANCHE DE ROUERGUE C
0121440A;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;12202;Rodez;CTRE DE FORMATION D'APPRENTIS;CHAMBRE DE COMMERCE AVEYRON;13000809700011;34977;;;17 rue Aristide Briand;BP3349;12001;RODEZ CEDEX
0121479T;600;03;ministère de l'agriculture;;;PU;1;UAI célibataire;12208;Saint-Affrique;CTR FORMATION APPRENTIS AGRIC;ISA;19120938600017;39370;;;ROUTE DE BOURNAC;;12401;ST AFFRIQUE CEDEX
0121507Y;600;03;ministère de l'agriculture;;;PU;1;UAI célibataire;12202;Rodez;CTR FORMATION APPRENTIS AGRIC;NORD OUEST AVEYRON;;43831;;;Route d'Espalion;CS73335;12000;RODEZ
0131767A;600;06;ministère de l'éducation nationale;;;PU;1;UAI célibataire;13103;Salon-de-Provence;CENTRE DE FORMATION DES APPREN;MUNICIPAL DE SALON DE PROVENCE;21130103100020;25251;;;1  RUE ANTHIME RAVOIRE;;13300;SALON DE PROVENCE
0131772F;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;13211;Marseille 11e  Arrondissement;CENTRE DE FORMATION DES APPREN;BTP MARSEILLE;78285946600032;25251;;;IMPASSE DE LA MONTRE;;13396;MARSEILLE CEDEX 11
0131775J;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;13201;Marseille  1er Arrondissement;CENTRE DE FORMATION DES APPREN;DE LA BOURSE DU TRAVAIL (CFBT);78281271300017;25251;;;15 rue des Convalescents;;13001;MARSEILLE
0131779N;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;13204;Marseille  4e  Arrondissement;CENTRE DE FORMATION DES APPREN;PHARMACIE (DE LA);45391811200013;25251;;;30  RUE BENEDIT;;13004;MARSEILLE
0131781R;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;13208;Marseille  8e  Arrondissement;CENTRE DE FORMATION DES APPREN;COIF.SOINS ESTH. ROGER PARA;37970038800109;25251;;;441  AVENUE DU PRADO;;13008;MARSEILLE
0131782S;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;13047;Istres;CENTRE DE FORMATION DES APPREN;INDUSTRIE DE PROVENCE (DE L');78291196000055;25251;;ZAC DE LA TRIGANCE;8 CHEMIN DE CAPEAU;;13800;ISTRES
0131784U;600;06;ministère de l'éducation nationale;;;PU;1;UAI célibataire;13001;Aix-en-Provence;CENTRE DE FORMATION DES APPREN;SAINTE VICTOIRE PAYS D AIX;79083951800012;25251;;;7  RUE DU CHATEAU DE L HORLOGE;;13090;AIX EN PROVENCE
0131786W;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;13208;Marseille  8e  Arrondissement;CENTRE DE FORMATION DES APPREN;METIERS DE L AUTOMOBILE (DES);34957416000025;25251;;;35  RUE CALLELONGUE;;13008;MARSEILLE
0131903Y;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;13206;Marseille  6e  Arrondissement;CENTRE DE FORMATION DES APPREN;COIFFURE ARCOLE (DE LA);30090097400027;25636;;;1  RUE D ARCOLE;;13006;MARSEILLE
0132469N;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;13001;Aix-en-Provence;CENTRE DE FORMATION DES APPREN;BATIMENT ET TRAVAUX PUBLICS;78285946600024;27228;;LES MILLES;205 rue Albert Einstein;CS60525;13593;AIX EN PROVENCE CEDEX 3
0132470P;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;13214;Marseille 14e  Arrondissement;CENTRE DE FORMATION DES APPREN;INTERPROFESSIONNEL COROT;30591416000034;27228;;;PARC MASSALIA-33 BD CAPIT.GEZE;;13333;MARSEILLE CEDEX 14
0132830F;600;03;ministère de l'agriculture;;;PR;1;UAI célibataire;13208;Marseille  8e  Arrondissement;CTR FORMATION APPRENTIS AGRIC.;AGRICOLE ET HORTICOLE;30473540000026;27942;;;PARC BORTOLI  2 CH DU LANCIER;;13008;MARSEILLE
0133004V;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;13216;Marseille 16e  Arrondissement;CENTRE DE FORMATION DES APPREN;TRANSPORT ET LOGISTIQUE (AFTRA;30540504500041;29830;;;368 boulevard HENRI BARNIER;BP28;13321;MARSEILLE CEDEX 16
0133339J;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;13216;Marseille 16e  Arrondissement;CENTRE DE FORMATION DES APPREN;CITE TECHNIQUE (DE LA);77555830700093;32143;;;368 boulevard HENRI BARNIER;;13016;MARSEILLE
0133475G;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;13212;Marseille 12e  Arrondissement;CENTRE DE FORMATION DES APPREN;COMPAGNONS DU DEVOIR (DES);77566202600209;33848;;;184  RUE DU DOCTEUR CAUVIN;;13012;MARSEILLE
0133486U;600;35;ministère de la santé et de la solidarité nationale;;;PR;2;UAI mère;13206;Marseille  6e  Arrondissement;CENTRE DE FORMATION DES APPREN;METIERS DE L'HOSPITALISATION;78281573200022;33878;;;TOUR MEDIT. 65 AVENUE J.CANTINI;;13006;MARSEILLE
0133489X;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;13201;Marseille  1er Arrondissement;CENTRE DE FORMATION DES APPREN;INTERUNIV. EPURE MEDITERRANEE;38965591100029;34253;;;8 rue SAINTE BARBE;;13001;MARSEILLE
0133509U;600;06;ministère de l'éducation nationale;3;ministère de l'agriculture;PR;2;UAI mère;13004;Arles;CENTRE DE FORMATION DES APPREN;FEDERATION REGIONALE DES MFR;42940000500030;34515;;;3 rue Yvan Audouard;;13200;ARLES
0133527N;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;13206;Marseille  6e  Arrondissement;CENTRE DE FORMATION DES APPREN;REGIONAL INTERCONSULAIRE MEDIT;18130002100373;34635;;;1 rue SAINT SEBASTIEN;CS21856;13177;MARSEILLE CEDEX 20
0133535X;600;03;ministère de l'agriculture;;;PR;1;UAI célibataire;13019;Cabriès;CTR FORMATION APPRENTIS AGRIC.;METIERS HIPPIQUES;31804341100095;34578;;LES PLAINES DE L ARBOIS;;BP27;13822;CABRIES CEDEX
0133549M;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;13206;Marseille  6e  Arrondissement;CENTRE DE FORMATION DES APPREN;BANQUE-FINANCE (AIF PACA);77567554900577;34943;;;65  AVENUE JULES CANTINI;;13006;MARSEILLE
0133565E;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;13213;Marseille 13e  Arrondissement;CENTRE DE FORMATION DES APPREN;METIERS POSTE EN MEDITERRANEE;40863294100014;35159;;Chateau-Gombert;1  RUE PAUL LANGEVIN;;13453;MARSEILLE CEDEX 13
0133597P;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;13213;Marseille 13e  Arrondissement;CENTRE DE FORMATION DES APPREN;PROPRETE ENVIR HYGIENE LOCAUX;80211860400056;35674;;;43 RUE JOLIOT-CURIE;;13013;MARSEILLE
0133622S;600;06;ministère de l'éducation nationale;32;ministère de la jeunesse et des sports;PR;2;UAI mère;13202;Marseille  2e  Arrondissement;CENTRE DE FORMATION DES APPREN;FUTUR O SUD;41430913800025;35550;;;7 rue de la République;;13002;MARSEILLE
0133645S;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;13053;Mallemort;CENTRE DE FORMATION DES APPREN;TRAVAUX PUBLICS PACA (TP PACA);40083612800027;36404;;PNT ROYAL;ROUTE NATIONALE 7;;13370;MALLEMORT
0133690R;600;35;ministère de la santé et de la solidarité nationale;;;PR;2;UAI mère;13201;Marseille  1er Arrondissement;CENTRE DE FORMATION DES APPREN;METIERS DU SOCIAL (GIAPATS);37891162200017;37135;;;41 rue LA CANEBIERE;;13001;MARSEILLE
0133864E;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;13001;Aix-en-Provence;CENTRE DE FORMATION DES APPREN;FORMATION ADAPTEE (CFAR FA);78291199400062;38869;;;4 avenue DE LATTRE de TASSIGNY;;13100;AIX EN PROVENCE
0133927Y;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;13004;Arles;CENTRE DE FORMATION DES APPREN;BTP ARLES;78285946600065;39692;;;Chemin DE SEVERIN;BP10158;13633;ARLES CEDEX
0133929A;600;06;ministère de l'éducation nationale;;;PU;1;UAI célibataire;13001;Aix-en-Provence;CENTRE DE FORMATION DES APPREN;REGIONAL DE L'ACADEMIE D'AIX-M;18133713000023;39692;;Parc de la Duranne;860 rue RENE DESCARTES;;13090;AIX EN PROVENCE
0133963M;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;13001;Aix-en-Provence;CENTRE DE FORMATION DES APPREN;METIER DEVELOP. DURABLE( MEDD);51824280500019;40422;;EUROPOLE DE L'ARBOIS;AVENUE LOUIS PHILIBERT;;13100;AIX EN PROVENCE
0134105S;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;13203;Marseille  3e  Arrondissement;CENTRE DE FORMATION DES APPREN;DES METIERS DU SPECTACLE;80752458200028;42248;;;41  RUE JOBIN;;13003;MARSEILLE
0134179X;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;13206;Marseille  6e  Arrondissement;CENTRE DE FORMATION DES APPREN;REGIONAL DE LA PLASTURGIE;;42912;;;16 place du Général de Gaulle;;13243;MARSEILLE CEDEX 01
0141300M;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;14118;Caen;CTR DE FORMATION D APPRENTIS;CIFAC;48113893100011;25318;;;2 rue Claude Bloch;BP5059;14077;CAEN CEDEX 5
0141601P;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;14118;Caen;CTR DE FORMATION D APPRENTIS;BATIMENT JEAN HOCHET;77811608700132;26799;;;16 rue de la Cotonnière;;14000;CAEN
0141941J;600;03;ministère de l'agriculture;;;PU;3;UAI fille;14654;Saint-Pierre-en-Auge;CTR FORMATION APPRENTIS AGRIC.;LGT ROBILLARD LIEURY L'ODON;19141112300018;27273;;LIEURY-L'OUDON;LIEU-DIT LE ROBILLARD;;14170;ST PIERRE EN AUGE
0142106N;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;14118;Caen;CTR DE FORMATION D APPRENTIS;CFAI GRAND OUEST NORMANDIE;78071405100031;32387;;;12 rue Professeur Rousselot;;14053;CAEN CEDEX 4
0142180U;600;03;ministère de l'agriculture;;;PU;3;UAI fille;14762;Vire Normandie;CTR FORMATION APPRENTIS AGRIC.;LPA VIRE;;33482;;LES CHAMPS DE TRACY;;BP66000;14500;VIRE NORMANDIE
0142220M;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;14118;Caen;CTR DE FORMATION D APPRENTIS;TRANSPORT LOGISTIQUE - AFTRAL;;34943;;;6 rue de la cotonnière;;14000;CAEN
0142269R;600;35;ministère de la santé et de la solidarité nationale;;;PR;1;UAI célibataire;14327;Hérouville-Saint-Clair;CTR FORM. APPRENTIS SAN ET SOC;SAN. ET SOC. BASSE-NORMANDIE;;36770;;;1 impasse des ormes;;14200;HEROUVILLE ST CLAIR
0142270S;600;03;ministère de l'agriculture;;;PR;2;UAI mère;14327;Hérouville-Saint-Clair;CTR FORMATION APPRENTIS AGRIC;M.F.R. DE BASSE-NORMANDIE;;36039;;CITIS 1 RUE D HERMIA;;;14209;HEROUVILLE ST CLAIR CEDEX
0142273V;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;14242;Epron;CTR DE FORMATIONS D APPRENTIS;ESITC;34270750200676;37500;;;1 rue Pierre et Marie Curie;;14610;EPRON
0142368Y;600;06;ministère de l'éducation nationale;;;PU;1;UAI célibataire;14118;Caen;CTR DE FORMATION D APPRENTIS;PUB ENSEIGNEMENT SUPERIEUR CAE;19141408500016;39326;;;Esplanade de la Paix;CS14032;14032;CAEN CEDEX 5
0142390X;600;06;ministère de l'éducation nationale;32;ministère de la jeunesse et des sports;PR;1;UAI célibataire;14383;Louvigny;CTR DE FORMATION D APPRENTIS;SPORT ANIMATION TOURISME NORMA;78975652500026;41518;;;2 bis route d'Aunay sur Odon;;14111;LOUVIGNY
0142399G;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;14181;Cormelles-le-Royal;CTR DE FORMATION D APPRENTIS;AGEFA PME BASSE-NORMANDIE;;41640;;ESPACE JEAN MANTELET;31 BOULEVARD DE L'ESPÉRANCE;;14123;CORMELLES LE ROYAL
0142400H;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;14327;Hérouville-Saint-Clair;CTR DE FORMATION D APPRENTIS;DON BOSCO;31330940300019;41691;;;535 boulevard de la Paix;;14200;HEROUVILLE ST CLAIR
0142418C;600;03;ministère de l'agriculture;;;PR;1;UAI célibataire;14327;Hérouville-Saint-Clair;CTR FORMATION APPRENTIS AGRIC;DES MFR DE NORMANDIE;;43101;;;1 rue d'Hermita;;14200;HEROUVILLE ST CLAIR
0150605B;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;15119;Massiac;CFA BATIMENT TRAVAUX PUBLICS;BTP CFA CANTAL;41884676200148;25696;;;10 rue Jean Moulin;;15500;MASSIAC
0150640P;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;15014;Aurillac;CTR DE FORMATION D'APPRENTIS;IFPP CANTAL AUVERGNE;78804163000047;27470;;;8 rue AGRICOL PERDIGUIER;BP713;15017;AURILLAC CEDEX
0160756K;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;16015;Angoulême;CTR DE FORMATION D'APPRENTIS;CHAMBRE METIERS ET ARTISANAT;18160004000024;25234;;;68 avenue Gambetta;;16021;ANGOULEME CEDEX
0160757L;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;16166;L'Isle-d'Espagnac;CFA CCIT CHARENTE;CCI CHARENTE FORMATION;13002245200036;25234;;;ZI 3 boulevard SALVADOR ALLENDE;;16340;L ISLE D ESPAGNAC
0161077J;600;03;ministère de l'agriculture;;;PU;4;UAI mère et fille;16113;La Couronne;CTR FORMATION APPRENTIS AGRIC;;19160006300025;31168;;L OISELLERIE;;;16400;LA COURONNE
0161128P;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;16113;La Couronne;CTR DE FORMATION D'APPRENTIS;ECOLE INGENIEURS PAR APPRENTIS;34270750200528;33848;;LA CROIX DU MILIEU;40  ROUTE DE LA CROIX DU MILIEU;;16400;LA COURONNE
0161212F;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;16085;Chasseneuil-sur-Bonnieure;CTR DE FORMATION D APPRENTIS;BTP CFA CHARENTE;30107533900061;42979;;;Allée du Chef Luc;;16260;CHASSENEUIL SUR BONNIEURE
0171183U;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;17300;La Rochelle;CTR DE FORMATION D'APPRENTIS;CHAMBRE METIERS ET ARTISANAT;18170004800026;26876;;LE PRIEURE;Rue du Château;;17000;LA ROCHELLE
0171208W;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;17415;Saintes;CTR DE FORMATION D'APPRENTIS;CHAMBRE COMMERCE INDUSTRIE;18170003000065;27442;;;11 rue DE L ORMEAU DE PIED;CS20089;17103;SAINTES CEDEX
0171209X;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;17415;Saintes;CTR DE FORMATION D'APPRENTIS;CFA BTP AFOBAT;30107533900020;27442;;;11 rue DE L ORMEAU DE PIED;;17100;SAINTES
0171401F;600;03;ministère de l'agriculture;;;PU;4;UAI mère et fille;17415;Saintes;CTR FORMATION APPRENTIS AGRIC;LA PICHONNERIE;19170087100020;31168;;LA PICHONNERIE;RUE GEORGES DESCLAUDE;BP10549;17119;SAINTES CEDEX
0171438W;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;17094;Châtelaillon-Plage;CTR DE FORMATION D'APPRENTIS;CIPECMA;51176260100017;33482;;;17 avenue du Général de Gaulle;;17340;CHATELAILLON PLAGE
0171465A;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;17300;La Rochelle;CTR DE FORMATION D'APPRENTIS;CFA AOCDTF;77566202601090;33482;;;1 rue THEROIGNE DE MERICOURT;CS40801;17041;LA ROCHELLE CEDEX 1
0171591M;600;03;ministère de l'agriculture;;;PU;3;UAI fille;17434;Surgères;CTR FORMATION APPRENTIS AGRIC;DES MEUNERIES ET DES IND.CEREA;19170393300017;38918;;;Avenue François Mitterrand;BP49;17700;SURGERES
0171610H;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;17299;Rochefort;CTR DE FORMATION D APPRENTIS;AFTRAL CFATL;30540504501338;40848;;;2 avenue ANDRE DULIN;;17300;ROCHEFORT
0180755Y;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;18033;Bourges;CTR DE FORMATION D APPRENTIS;INTERPROF CH MET COM IND;30804972500036;28145;;;149 rue de Turly;;18000;BOURGES
0180847Y;600;03;ministère de l'agriculture;;;PU;3;UAI fille;18255;Le Subdray;CTR FORMATION APPRENTIS AGRIC.;CFAAD DU CHER;19180585200081;32143;;;Zone LE SOLLIER;;18570;LE SUBDRAY
