numero_uai;nature_uai;ministere_tutelle;ministere_tutelle_libe;tutelle_2;tutelle_2_libe;secteur_public_prive;niveau_uai;niveau_uai_libe;commune;commune_libe;denomination_principale;patronyme_uai;numero_siren_siret_uai;date_ouverture;date_fermeture;lieu_dit_uai;adresse_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai
0501844H;600;03;ministère de l'agriculture;;;PU;1;UAI célibataire;50484;Saint-Hilaire-du-Harcouët;CTR FORMATION APPRENTIS AGRIC.;LPA SAINT HILAIRE;19501234900039;32325;;;ROUTE DE FOUGERES;;50600;ST HILAIRE DU HARCOUET
0501899T;600;03;ministère de l'agriculture;;;PU;3;UAI fille;50409;Pont-Hébert;CTR FORMATION APPRENTIS AGRIC.;LTA SAINT LO THERE;;33126;;LE HOMMET D ARTHENAY;;;50620;PONT HEBERT
0501929A;600;03;ministère de l'agriculture;;;PR;1;UAI célibataire;50216;Graignes-Mesnil-Angot;CTR FORMATION APPRENTIS AGRIC;CTRE NAT.FORM.LADS ET JOCKEYS;;30926;;GRAIGNES;6  RUE DE L'HIPPODROME;;50620;GRAIGNES MESNIL ANGOT
0501987N;600;28;ministère de la mer;;;PU;1;UAI célibataire;50129;Cherbourg-en-Cotentin;CENTRE FORMATION APPRENTIS;LYCEE MARITIME ET AQUACOLE;;39326;;;Rue MATIGNON;BP331;50103;CHERBOURG OCTEVILLE CEDEX
0502006J;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;50502;Saint-Lô;CTRE DE FORMATION D'APPRENTIS;CFA ACADEMIQUE DE CAEN;19501219000037;42370;;;377 rue de l'exode;;50010;ST LO CEDEX
0511383B;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;51454;Reims;CTR DE FORMATION D'APPRENTIS M;BTP GRAND EST LORRAINE MARNE;78334702400110;26105;;;31  AVENUE HOCHE;BP1030;51686;REIMS CEDEX 2
0511649R;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;51108;Châlons-en-Champagne;ALMEA FORMATION INTERPRO 51;CFA INTERPRO DE LA MARNE;50923283100016;28037;;;32  RUE BENJAMIN FRANKLIN;CS70021;51016;CHALONS EN CHAMPAGNE CEDEX
0511749Z;600;03;ministère de l'agriculture;;;PU;2;UAI mère;51029;Avize;CTR DE FORMATIONS D'APPRENTIS;AGRICOLE-VITICOLE DE LA MARNE;19511219800054;28874;;;61  AVENUE DE MAZAGRAN;;51190;AVIZE
0511845D;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;51055;Bétheny;CTR DE FORMATION D'APPRENTIS;SANTE ET SCIENCES DE LA VIE;41131238200020;29830;;;13 rue des Docks;BP9;51450;BETHENY
0511949S;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;51454;Reims;CTR DE FORMATION D'APPRENTIS;INDUSTRIE DE CHAMPAGNE-ARDENNE;44535705600032;33482;;;3 rue MAX HOLSTE;CS11004;51685;REIMS CEDEX 2
