id_etablissement_mna,siren,siret_siege_social,siret,RAISON_SOCIALE,REFERENCABLE,QUALIOPI
5e8df8a420ff3b2161267c54,306666389,30666638900029,30666638900029,FEDERATION INTERDEPARTEMENTALE DES MAISONS FAMILIALES RURALES DE BOURGOGNE,PAS DANS DATADOCK,
5e8df89d20ff3b2161267bb4,193900016,19390001600018,19390001600018,LYCEE PAUL EMILE VICTOR,PAS DANS DATADOCK,
5e8df88e20ff3b2161267a6c,817867641,81786764100026,81786764100026,WEBFORCE3 PARIS,OUI,
5e8df89620ff3b2161267b22,410141196,41014119600056,41014119600098,EURIDIS MANAGEMENT,OUI,
5e8df89b20ff3b2161267b8a,434563367,43456336700052,43456336700037,"I P L ""ISEFAC PARIS LILLE""",OUI,QUALIOPI
5e8df8a120ff3b2161267c18,200007466,20000746600010,20000746600077,ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DE CARCASSONNE,OUI,
5e8df8ab20ff3b2161267cea,182100263,18210026300025,18210026300041,GIP FORMATION TOUT AU LONG DE LA VIE DE BOURGOGNE,OUI,
5e8df8b620ff3b2161267e04,781194782,78119478200012,78119478200012,MAISON FAMILIALE RURALE D'EDUCATION ET D'ORIENTATION DES CHARENTES A RICHEMONT - INSTITUT SUPERIEUR DE FORMATION PAR ALT,OUI,
5e8df8b020ff3b2161267d6a,198101214,19810121400015,19810121400106,ETS PUB LOCAL ENSEIGNEMENT FORMATION PROFESSIONNELLE AGRICOLES TARN,OUI,
5e8df8ad20ff3b2161267d22,329224562,32922456200630,32922456200549,LA COMPAGNIE DE FORMATION,OUI,QUALIOPI
5e8df8b120ff3b2161267d7c,794429894,79442989400015,79442989400015,EPEC GASPARD,OUI,
5e8df8b120ff3b2161267d8a,196017826,19601782600013,19601782600062,ETAB PUBLIC ENSEIGNEMENT AGRICOLE OISE,OUI,
5e8df89720ff3b2161267b3e,789947025,78994702500043,78994702500043,PAZEL,NON,
