cle_ministere_educatif;uai_formation
077615P012X1954004290002119540042900021-54395#L01;0540041B
077615P012X1956002670004919560026700049-56260#L01;0561968K
077615P012X1969286670002719690042700010-69388#L01;0690042W
077615P012X3292245620063032922456200267-06088#L01;0061610T
077615P012X3418207770003334182077700033-93066#L01;0931797Y
077615P012X3492918980001434929189800014-91114#L01;0910843X
077615P012X3511911190016035119111900160-35238#L01;0353005B
077615P012X3511911190016035119111900277-56260#L01;0562005A
077615P012X3511911190016035119111900285-14566#L01;0142395C
077615P012X3511911190030135119111900301-53054#L01;0531021X
077615P012X3783565540003037835655400030-84007#L01;0840077C
077615P012X3813487960002438134879600024-69387#L01;0694286J 
077615P012X3944545160002977838286100012-39198#L01;0391146J
077615P012X4101411960005641014119600106-69382#L01;0694378J
077615P012X4189553810005241895538100045-83107#L01;0831692N
077615P012X4189553810005241895538100052-83144#L01;0831693P
077615P012X4238063550020642380635500099-83137#L01;0830662U
077615P012X4523595160002145235951600021-91377#L01;0912263R
077615P012X5030492150002650304921500026-01071#L01;0010878Z
077615P012X7755583070009333398524000014-13004#L01;0132300E
077615P012X7755583070009334336336200017-13103#L01;0132922F
077615P012X7833332970005078333329700050-54395#L01;0542448T
077615P012X8313809360001183138093600011-83061#L01;0831760M
077634P012X1876090940002919501677900017-50129#L01;0501677B
077634P013X1859216160005718592161600057-62193#L01;0624397T
078104P012X1906079370007419840606800017-84054#L01;0840606C
078104P012X1958005520009119580055200091-58267#L01;0580955Y
078104P012X1982055930003319311241400027-31403#L01;0312222X
078104P012X2000074660001020000746600010-11076#L01;0110856W
078104P012X4853882010004148538820100041-35236#L01;0351958N
078104P012X4853882010004148538820100041-56066#L01;0561456D
078105P012X1906079370007419040056400034-04046#L01;0040590V
078105P012X8925840790001652981754600011-76427#L01;0762284V
078106P012X1964022000004819640220000048-64422#L01;0640254D
078106P012X4853882010004148538820100041-22161#L01;0221677D
078841P01321821002630004118210026300041-71040#L01;0711384U
078955P012X3308023560003133080235600031-87085#L01;0870066Z
079115P012X1831090730003519650035900019-65460#L01;0650038N
080278P012X1300237400043913002374000041-59599#L01;0596868V 
080278P012X1300237400043913002374000405-59544#L01;0594665A 
080278P012X1859216160005718592161600057-62041#L01;0620257T
080278P012X3518021860011135180218600111-34172#L01;0341651K
080278P012X3783565540003037835655400030-84007#L01;0840077C
080278P012X3784388730005137843887300051-44162#L01;0440333Y
080278P012X3842659890001038426598900010-92050#L01;0922275Y
080278P012X4444720210001348825428500015-85238#L01;0850086G
080278P012X7782105260001952951402800016-71076#L01;0711896A
080280P012X4496770870001644967708700016-67482#L01;0672790U
080757P011X7756620260022577566202600225-77083#L01;0772864V
080757P012X1821002630004118210026300041-21231#L01;0211986V
080757P012X1859216160005718592161600057-62041#L01;0624250H
080757P012X1988015320004719880153200047-88383#L01;0881140L
080758P012X1859216160005718592161600057-62041#L01;0624250H
080758P012X1988015320004719880153200047-88383#L01;0881140L
081072P012X1859216160005718592161600057-59606#L01;0590223X
081073P011X1894091050001318940910500013-77131#L01;0770924L
081073P012X1831090730003519810012500014-81060#L01;0810012Y
081073P012X1859216160005718592161600057-59295#L01;0590102R
081073P012X1876090940002919500087200018-50484#L01;0500087Y
081073P012X1905000660003919050006600039-04070#L01;0040007L
081073P012X1922005820002619220058200026-22093#L01;0222012T
081073P012X1942108860001719421088600017-42180#L01;0422327B
081073P012X1969025060005019421088600017-42180#L01;0422327B
081073P012X7834151100001578341511000015-55551#L01;0551027T
081074P012X3218777890004032187778900040-94076#L01;0941925G
081074P012X4496770870001644967708700016-67482#L01;0672790U
081125P011X5001380290002979307691000017-59400#L01;0596189G
081408P011X1980133510002019801335100020-80001#L01;0801999N 
081408P012X1906079370007419060793700074-06004#L01;0061920E
081408P012X1906079370007419840607600036-84031#L01;0841026J
081408P012X1917008710001219170087100012-17415#L01;0171401F
081408P012X1924002320004219240023200042-24274#L01;0241257L
081408P012X1929034170001719290341700017-29078#L01;0292009B
081408P012X1930013930003519300139300035-30356#L01;0301435X
081408P012X1959339570003519593395700035-59350#L01;0596316V
081408P012X1960126520002619601265200026-60537#L01;0601996U 
081408P012X1965013990003019650139900030-65440#L01;0651107A
081408P012X1971106870006219711068700062-71543#L01;0711768L
081408P012X1977135710001019771357100010-77053#L01;0772750W
081408P012X1986071860003019860718600030-86272#L01;0861463Y
081408P012X4214324280001742143242800017-78623#L01;0783455G
081408P012X4853882010004138112573100020-56007#L01;0561454B
081408P012X4853882010004148538820100041-22106#L01;0221673Z
081408P012X4853882010004148538820100041-35238#L01;0351047Y
081408P012X7834697940001178346979400029-88402#L01;0881709E
081409P012X1934159990001319341599900013-34301#L01;0341699M
081409P012X1944206180004419442061800044-44069#L01;0441550W
081448P01111922005820002619220058200026-22278#L01; 0222044C
081448P013X1859216160005718592161600057-62510#L01;0624487R
081449P012X1859216160005718592161600057-62178#L01;0624092L
081449P013X8131259860002281312598600022-21231#L01;0212096P
081450P012X1859216160005718592161600057-59383#L01;0594302F
081450P012X1859216160005718592161600057-59540#L01;0596798U
081450P012X1859216160005718592161600057-62041#L01;0624250H
081450P012X1859216160005718592161600057-62193#L01;0623463C
081450P012X1859216160005718592161600057-62318#L01;0624288Z
081450P012X1956002670004919560026700049-56178#L01;0561985D
081450P013X1859216160005718592161600057-62534#L01;0624262W
081451P011X1859216160005718592161600057-59540#L01;0596798U
081451P012X1859216160005718592161600057-62041#L01;0624250H
081451P012X1956002670004919560026700049-56178#L01;0561985D
081452P01114853882010004148538820100041-56121#L01;0561989H
081452P011X1859216160005718592161600057-59122#L01;0592611T
081452P011X1859216160005718592161600057-59360#L01;0590133Z
081452P011X1859216160005718592161600057-62510#L01;0624487R
081452P012X1859216160005718592161600057-59350#L01;0593318L
081452P012X1859216160005718592161600057-59383#L01;0594302F
081452P012X1859216160005718592161600057-59540#L01;0596798U
081452P012X1859216160005718592161600057-62041#L01;0624250H
081452P012X1859216160005718592161600057-62193#L01;0623463C
081452P012X1956002670004919560026700049-56178#L01;0561985D
081452P013X1929007100002619290071000026-29162#L01;0292164V
081454P011X1859216160005718592161600057-59540#L01;0596798U
081454P012X1859216160005718592161600057-62193#L01;0623463C
081454P012X1859216160005718592161600057-62534#L01;0624262W
081454P013X1859216160005718592161600057-59033#L01;0596705T
081454P013X1859216160005718592161600057-59122#L01;0592611T
081454P013X1859216160005718592161600057-59383#L01;0594302F
081454P013X1859216160005718592161600057-62516#L01;0624370N
081455P011X7756621410006577566214100065-93051#L01;0931815T
081456P012X1859216160005718592161600057-62119#L01;0623130R
081456P012X1956002670004919560026700049-56121#L01;0561958Z
081456P013X1859216160005718592161600057-59008#L01;0592610S
081456P013X1929007100002619290071000026-29232#L01;0292379D
081472P012X1859216160005718592161600057-59512#L01;0590184E 
081472P012X3418207770003334182077700033-75106#L01;0753838P
081472P012X4933005600001577558486500015-33063#L01;0332550T 
081472P012X8126749010002881267490100028-75110#L01;0755626H
081473P012X1859216160005718592161600057-59512#L01;0590184E
081473P012X3418207770003334182077700033-75106#L01;0753838P
081473P012X4853882010004148538820100041-29124#L01;0292328Y
081473P012X8126749010002881267490100028-75110#L01;0755626H
081474P012X1859216160005718592161600057-59512#L01;0590184E
081474P012X4853882010004148538820100041-29124#L01;0292328Y
081474P012X4933005600001577558486500015-33063#L01;0332550T 
081474P012X8126749010002881267490100028-75110#L01;0755626H
081475P012X1859216160005718592161600057-59512#L01;0590184E
081475P012X4933005600001577558486500015-33063#L01;0332550T 
081476P012X1859216160005718592161600057-59512#L01;0590184E 
081476P012X3418207770003334182077700033-75106#L01;0753838P
081476P012X4853882010004148538820100041-29124#L01;0292328Y
081476P012X4933005600001577558486500015-33063#L01;0332550T 
081476P012X8126749010002881267490100028-75110#L01;0755626H
0824021211913320630002019133206300020-13041#L01;0133244F
082402P012X1300172700082388931074400020-78423#L01;0781809T
082402P012X1821002630004118210026300041-71076#L01;0710012C
082402P012X1821002630004118210026300041-89387#L01;0891200W
082402P012X1831090730003519460010200017-46102#L01;0460032K
082402P012X1831090730003519810004200011-81004#L01;0810004P
082402P012X1831090730003519820021400015-82121#L01;0820021C
082402P012X1859216160005718592161600057-59178#L01;0590065A
082402P012X1913320630002019133206300020-13041#L01;0133244F
082402P012X1954004290002119540042900021-54395#L01;0540042C
082402P012X1975067690001119750676900011-75111#L01;0750676C
082402P012X7757284540004977572845400049-92040#L01;0921274K 
082403P012X1300172700082388931074400020-78423#L01;0781809T 
082403P012X1821002630004118210026300041-71076#L01;0710012C
082403P012X1831090730003519312093800017-31149#L01;0312093G
082403P012X1831090730003519810004200011-81004#L01;0810004P
082403P012X1831090730003519820021400015-82121#L01;0820021C
082403P012X1859216160005718592161600057-59178#L01;0590065A
082403P012X1859216160005718592161600057-59183#L01;0590072H
082403P012X1859216160005718592161600057-59350#L01;0590121L 
082403P012X1859216160005718592161600057-59512#L01;0590184E
082403P012X1894091050001318940910500013-94052#L01;0940118T
082403P012X1954004290002119540042900021-54395#L01;0540042C
082403P012X1975067690001119750676900011-75111#L01;0750676C
082403P012X1984000530002319840005300023-84007#L01;0840005Z 
082403P012X3418207770003334182077700033-75108#L01;0754037F 
082403P012X3495860990002134958609900021-57757#L01;0572698Y
082403P012X3495860990002134958609900021-88465#L01;0881721T
082403P012X3904824200002839048242000028-35047#L01;0352503F
082502P01221825002310002819250001500016-25031#L01;0250001R
082502P012X1821002630004118210026300041-71040#L01;0711384U
082502P012X1859216160005718592161600057-59291#L01;0596827A
082695P012X1831090730003519120096300012-12013#L01;0120096P
082695P012X1831090730003519320067200015-32013#L01;0320067Z
082695P012X1831090730003519810016600018-81065#L01;0810016C
082695P012X1859216160005718592161600057-62498#L01;0620110H
082695P012X1876090940002919610018400015-61168#L01;0610018N
082695P012X1887370350002518873703500025-23079#L01;0230581G 
082695P012X1905000660003919050006600039-05046#L01;0050005D
082695P012X1933002330003119330023300031-40279#L01;0401002X
082695P012X1988015320004719880153200047-88383#L01;0880153N
082695P012X7845213040002178452130400021-44109#L01;0442896J
082703P011X5001380290002978351045600016-59033#L01;0596186D
082703P011X5001380290002978376528200026-59449#L01;0597122W
082703P012X1300260730017613002607300176-71294#L01;0711078L
082703P012X1300279310004213002793100042-09122#L01;0090553C
082703P012X1300280120001613002801200040-54304#L01;0541548P
082703P012X1859216160005718592161600057-62193#L01;0623105N
082703P012X1951003590002319510035900023-51454#L01;0510036M
082703P012X1957009920004119570099200041-57630#L01;0570095U
082749P01321821002630004118210026300041-21054#L01;0212045J
082750P01321821002630004118210026300041-21054#L01;0212045J
082751P012X1908000860002619080008600026-08409#L01;0080018B
082775P01111956002670004919560026700049-22136#L01;0222043B
082775P01111956002670004919560026700049-56260#L01; 0561968K
082775P011X1859216160005718592161600057-59271#L01;0596940Y
082775P011X5001380290002934012780200015-59017#L01;0594889U
082775P012X1300279310004213002793100042-09122#L01;0090553C
082775P012X1859216160005718592161600057-59378#L01;0596687Y
082775P012X1859216160005718592161600057-62080#L01;0620030W
082775P012X1859216160005718592161600057-62119#L01;0623130R
082775P012X1908000860002619080008600026-08409#L01;0080047H
082775P012X1922005820002619220058200026-22278#L01;0222040Y
082775P012X1956002670004919560026700049-56121#L01;0561958Z
082775P012X1957005700003719570057000037-57447#L01;0573211F
082775P013X1859216160005718592161600057-62643#L01;0620221D
082775P013X1929007100002619290071000026-29302#L01;0292253S
082775P013X1954004290002119540042900021-54395#L01;0540081V
082775P013X1957005700003719570057000037-57672#L01;0570108H
082775P013X7757008420001377570084200013-76429#L01;0762312A
082775P013X7781277530001177812775300011-54025#L01;0541344T
082776P01221825002310002819250006400022-25056#L01;0251028G
082776P012X1859216160005718592161600057-59350#L01;0590258K
082776P012X1887370350002518873703500025-87085#L01;0871055Z
082776P012X1933002330003119330023300031-33063#L01;0330028B
082776P012X3511911190016035119111900160-35238#L01;0353005B
082776P012X8033555930003680335559300036-68376#L01;0681917P
082776P013X1845031000003619371417700014-37122#L01;0371417P
082777P01114853882010004148538820100041-29220#L01;0292375Z
082777P012X1922005820002619220058200026-22093#L01;0222012T
082777P012X1956002670004919560026700049-56075#L01;0562014K
082777P013X7781277530001177812775300011-54025#L01;0541344T
082778P01111956002670004919560026700049-22136#L01;0222043B
082778P012X1957005700003719570057000037-57447#L01;0573211F
082778P013X7757008420001377570084200013-76429#L01;0762312A
082778P013X7781277530001177812775300011-54025#L01;0541344T
082781P013X1859216160005718592161600057-59392#L01;0595884A
08278312X1913005320002219130053200022-13213#L01;0130050J 
082783P012X1831090730003519460028400013-46309#L01;0460028F
082783P012X1831090730003520002589800012-31395#L01;0312822Z
082783P012X1859216160005718592161600057-59350#L01;0590121L 
082783P012X1867155380003618671553800044-67218#L01;0672198A
082783P012X1867155380003618671553800044-68063#L01;0681810Y
082783P012X1894091050001318940910500013-94002#L01;0940126B
082783P012X1913005320002219130053200022-13213#L01;0130050J 
082783P012X7829119600005519040492100016-04112#L01;0040533H
082786P012X1831090730003519460028400013-46309#L01;0460028F
082786P012X1831090730003520002589800012-31395#L01;0312822Z
082786P012X1867155380003618671553800044-67348#L01;0670050R
082786P012X1887370350002518873703500025-87011#L01;0870004G 
082786P012X1897290560001118972905600011-97213#L01;9720695Y
082786P012X1897401110010018974011100100-97407#L01;9741177L
082786P012X1901001640002819010016400028-01033#L01;0010006B
082786P012X1935003030003019350030300030-22050#L01;0221889J
082786P012X1957005700003719570057000037-57663#L01;0572590F
082786P012X7756881040018877568810400188-75104#L01;0751488K
082786P012X7781277530001177812775300011-54025#L01;0542295B
082787P012X1300279310035613002793100356-81004#L01;0810791V 
082787P012X1859216160005718592161600057-59350#L01;0590121L 
082787P012X1867155380003618671553800044-67218#L01;0672198A
082787P012X1897401110010018974011100100-97407#L01;9741177L
082787P012X1905000660003919050006600039-04070#L01;0040490L
082787P012X3418207770003334182077700033-93051#L01;0932036H 
082787P012X4933005600001577558486500015-33063#L01;0332550T 
082787P012X7752728000001977527280000019-37122#L01;0370748M
082792P012X1300046090001713000460900066-49099#L01;0490985E
082792P012X1859216160005718592161600057-62041#L01;0620257T 
082792P012X3518021860011135180218600111-34172#L01;0341651K
082792P012X3784388730005137843887300051-44162#L01;0440333Y
082792P012X5036727680015050367276800150-35238#L01;0352267Z
082936P012X7757008420001377570084200013-76429#L01;0762312A
082940P011X5001380290002934012780200015-59017#L01;0594889U
082940P012X1300279310004213002793100042-09122#L01;0090553C
082940P012X1859216160005718592161600057-62427#L01;0622318H
082940P012X1908000860002619080008600026-08409#L01;0080047H
082940P012X1954004290002119540042900021-54395#L01;0540081V
082940P012X1957005700003719570057000037-57447#L01;0573211F
082940P012X1957005700003719570057000037-57672#L01;0570108H
082940P012X7757008420001377570084200013-76429#L01;0762312A
083069P012X1859216160005718592161600057-62498#L01;0622320K
083144P011X3180434110004631804341100046-94004#L01;0942024P
083144P012X1906079370007419040056400034-04046#L01;0040590V
083144P012X1906079370007419840607600036-84031#L01;0841026J
083144P012X1953008190001619530081900016-53130#L01;0530909A
083144P012X1958005520009119580055200091-58062#L01;0580767U
083144P012X1986071860003019860718600030-86165#L01;0861312J
083144P012X3075466220001930754662200019-29124#L01;0291790N
083144P012X3196815400001331968154000013-28088#L01;0280944Z
083144P012X4853882010004148538820100041-35095#L01;0350918H
083144P012X7753164090003377531640900033-37176#L01;0371409F
083425P013X1950186190001319501861900013-50129#L01;0501987N
083542P012X1956002670004919560026700049-56178#L01;0561985D
08360212X1984000530002319840005300023-84007#L01;0840004Y
083602P01111838300170023618383001700236-38185#L01;0381861S 
083602P01111863090920001019150006500039-15014#L01;0150006A
083602P01111955000200002719550002000027-55545#L01;0550025D
083602P011X1894091050001318940910500013-77183#L01;0772685A
083602P011X1894091050001318940910500013-93029#L01;0930119Z
083602P011X1894091050001318940910500013-94028#L01;0940114N
083602P012X1300227180001413002271800188-59512#L01;0596698K 
083602P012X1821002630004118210026300041-21231#L01;0210019G
083602P012X1831090730003519090002700011-09122#L01;0090002D
083602P012X1845031000003619180035800019-18279#L01;0180035R
083602P012X1859216160005718592161600057-59350#L01;0590258K 
083602P012X1863090920001019150006500039-15014#L01;0150006A
083602P012X1867155380003618671553800044-68297#L01;0680066C
083602P012X1877091830023518770918300235-77014#L01;0771914M
083602P012X1887370350002518873703500025-19031#L01;0190770J
083602P012X1901001640002819010016400028-01053#L01;0010016M 
083602P012X1912002450002219120024500022-81004#L01;0810005R
083602P012X1913320630002019133206300020-13117#L01;0133288D
083602P012X1931004430002019310044300020-31555#L01;0313047U
083602P012X1933002330003119330028200012-33063#L01;0330028B
083602P012X1935003030003019350030300030-35238#L01;03522996S
083602P012X1954004290002119540042900021-54395#L01;0540041B
083602P012X1957005700003719570057000037-57463#L01;0572728F
083602P012X1984000530002319840005300023-84007#L01;0840004Y
083602P012X2000044630002820000446300028-97615#L01;9760229V
083602P012X3156680380004731566803800047-97411#L01;9741570N
083602P012X3262983460004932629834600049-29051#L01;0292416U
083602P012X3262983460005632629834600056-29019#L01;0292417V
083602P012X3292245620060632922456200606-33039#L01;0333405X
083602P012X3292245620063032922456200267-06088#L01;0061610T
083602P012X3511911190016035119111900160-35238#L01;0353005B
083602P012X3511911190016035119111900277-56260#L01;0562005A
083602P012X3511911190016035119111900285-14566#L01;0142395C
083602P012X3511911190016035119111900293-35047#L01;0353009F
083602P012X3511911190030135119111900301-53054#L01;0531021X
083602P012X3783565540003037835655400030-84007#L01;0840077C
083602P012X3813487960002438134879600024-69383#L01;0694283F 
083602P012X3813487960002438134879600024-69385#L01;0690520R
083602P012X3813487960002438134879600024-69387#L01;0694286J 
083602P012X3813487960002438134879600024-69388#L01;0690642Y
083602P012X3908949620005439089496200054-77083#L01;0772890Y 
083602P012X3933377380004039333773800040-75119#L01;0753815P
083602P012X3944545160002977838286100012-39198#L01;0391146J
083602P012X3975808790005439758087900054-69387#L01;0694430R
083602P012X3994539430005839945394300066-06079#L01;0062116T
083602P012X4203044610002342030446100023-75116#L01;0750588G
083602P012X4238063550020642380635500099-83137#L01;0830662U
083602P012X4444720210001332548695900035-85191#L01;0850130E
083602P012X4523595160002145235951600021-91377#L01;0912263R
083602P012X5001380290002977562426500077-59350#L01;0593117T
083602P012X7763952870001977639528700019-42218#L01;0420979L
083602P012X7832024680002278320246800030-84007#L01;0841150U 
083602P012X8525705060001885257050600018-75108#L01;0756074V
083931P012X1859216160005718592161600057-62318#L01;0624288Z
083931P012X1859216160005718592161600057-62498#L01;0622320K
084237P011X1831090730003519312485600017-31069#L01;0312686B
084314P01118925840790001678071371500107-14118#L02;0141867D
084314P011X8907914290001689079142900016-66136#L01;0660759S
084314P012X1821002630004118210026300041-21038#L01;0210003P
084348P011X1831090730003519312485600017-31069#L01;0312686B
084350P011X1831090730003519312485600017-31069#L01;0312686B
084805P01111935003030003019350030300030-35095#L01;0352769V
084805P012X1880086430002818800864300028-02722#L01;0802084F
084805P012X1929007100002619290071000026-29162#L01;0292164V
084808P01111935003030003019350030300030-35095#L01;0352769V
084808P011X7756621410006577566214100065-93051#L01;0931815T
084808P012X1300279310004213002793100042-09122#L01;0090553C
084808P012X1859216160005718592161600057-62041#L01;0624250H
084808P012X7756620260107477566202601074-25056#L01;0251928K
084808P012X7786484850007777864848500093-25056#L01;0251967C
084811P011X7756621410006577566214100065-93051#L01;0931815T
084811P012X1300279310004213002793100042-09122#L01; 0090553C
084811P012X1859216160005718592161600057-62318#L01;0624288Z
084811P012X1859216160005718592161600057-62498#L01;0622320K
084811P012X7786484850007777864848500093-25056#L01;0251967C
084817P011X1859216160005718592161600057-62534#L01;0624262W
084817P012X1876090940002919610018400015-61168#L01;0610018N
084817P013X1821002630004118210026300041-58304#L01;0580042F
084817P013X1929007100002619290071000026-29162#L01;0292164V
084817P013X1988015320004719880153200047-88383#L01;0880153N
084817P013X4853882010004148538820100041-22278#L01;0221909F
084818P01114853882010004148538820100041-29103#L01;0292339K
084818P011X1859216160005718592161600057-59540#L01;0596798U
084818P012X1300279310004213002793100042-09122#L01; 0090553C
084818P012X1859216160005718592161600057-59258#L01;0596795R
084818P012X1859216160005718592161600057-59295#L01;0596701N
084818P012X1859216160005718592161600057-59383#L01;0594302F
084818P012X1859216160005718592161600057-62041#L01;0624250H
084818P012X1859216160005718592161600057-62193#L01;0623463C
084818P012X1859216160005718592161600057-62318#L01;0624288Z
084818P012X1859216160005718592161600057-62498#L01;0622320K
084818P012X1956002670004919560026700049-56178#L01;0561985D
084818P013X1859216160005718592161600057-59122#L01;0592611T
084818P013X1929007100002619290071000026-29162#L01;0292164V
084818P013X1988015320004719880153200047-88383#L01;0880153N
084818P013X7781277530001177812775300011-54025#L01;0541344T
084818P02228925840790001678071394700015-14118#L01;0141866C
084984P011X3418207770003334182077700033-91312#L01;0910831J
084984P012X1920000240003919200002400039-2A272#L01;6200189L
084984P012X1927101680001919271016800043-27428#L01;0271473E
084984P012X1927110750001519271107500031-27229#L01;0271635F
084984P012X1930013930003519300139300035-30356#L01;0301435X
084984P012X1958005520009119580055200091-58062#L01;0580767U
084984P012X1966069900005519660699000055-66164#L01;0660733N
084984P012X1989004580007819890045800078-89438#L01;0891132X
084984P012X3346521380001033465213800010-21501#L01;0211531A
084984P012X7861360690001478613606900014-49063#L01;0491835D
084984P022X1971106870006219711068700062-71445#L01;0711641Y
084984P032X1958005520009119580055200091-58086#L01;0580768V
084984P032X4853882010004148538820100041-35236#L01;0352493V
084986P013X1955075200001119550752000011-55545#L01;0551073T
084987P012X3399959200001633999592000016-61332#L01;0611037W
084989P012X1867155380003618671553800044-68297#L01;0680066C
085117P011X3418207770003334182077700033-91312#L01;0910831J
085117P011X3418207770003334182077700033-93074#L01;0932490B
085117P012X1922103180001519221031800015-22147#L01;0221880Z
085117P012X1927110750001519271107500031-27229#L01;0271635F
085117P012X1929034170001719290341700017-29078#L01;0292009B
085117P012X1930013930003519300139300035-30356#L01;0301435X
085117P012X1966069900005519660699000055-66164#L01;0660733N
085117P012X1971106870006219711068700062-71445#L01;0711641Y
085117P012X3775190790003437751907900034-76540#L01;0763094A
085117P012X4853882010004138112573100020-56007#L01;0561620G
085117P012X4853882010004148538820100041-35238#L01;0352192T
085117P012X4853882010004177744124700015-22247#L01;0221878X
085117P012X7861360690001478613606900014-49063#L01;0491835D
085120P01117834784310001978347843100019-88447#L01;0881593D
085120P012X1966069900005519660699000055-66164#L01;0660733N
085120P012X3196815400001377538336700015-41092#L01;0410855G
085120P012X7781585270001177815852700011-21001#L01;0211578B
085120P012X7809004860001778090048600017-50393#L01;0501596N
085198P01213180434110004631804341100061-50216#L01;0501793C
086553P01115030492150002677639527900016-42218#L01;0420984S
086604P01111922005820002619220058200026-22070#L01;0222037V
086604P01111956002670004919560026700049-56055#L02;0561998T
086604P01113495860990002134958609900021-57757#L01;0572698Y
086604P01113904824200002839048242000028-29019#L01;0292258X
086604P01113904824200002839048242000028-29051#L01;0292338J
086604P011X1912002450002219120024500022-81163#L01;0811324Z
086604P011X4523595160002145235951600021-91086#L01;0911826R
08786512X1913005320002219130053200022-13213#L01;0130050J
087865P01114188467620003150215377800019-69388#L01;0690634P
087865P012X1831090730003519320067200015-32013#L01;0320067Z
087865P012X1859216160005718592161600057-62041#L01;0620011A
087865P012X1867155380003618671553800044-67180#L01;0671509B
087865P012X1913005320002219130053200022-13213#L01;0130050J
087929P012X1859216160005718592161600057-59017#L01;0590011S
087929P012X1954004290002119540042900021-54395#L01;0540042C
087929P012X1969286670002719690040100023-69387#L01;0690040U
087931P012X1933002330003119640044400010-64410#L01;0640044A
087931P012X4026704000007440267040000074-75113#L01;0750685M 
087931P012X4026704000007440267040000074-75113#L02;0750330B
087931P012X4026704000007440267040000074-92036#L01;0921156G
087931P012X4496770870001644967708700016-67482#L01;0672790U
087933P01213487254900002634872549000034-61143#L01;0611152W
087933P012X1831090730003519650027600015-65440#L01;0650027B
087933P012X1831090730003519810004200011-81004#L01;0810004P
087933P012X1867155380003618671553800044-68297#L01;0680066C
087933P012X1887370350002518873703500025-19031#L01;0190010H
087933P012X1933002330003119330023300031-40001#L01;0400002K
087933P012X1954004290002119540042900021-54395#L01;0540042C
087933P012X1975067690001119750676900011-75111#L01;0750676C
087933P012X3904824200002839048242000028-29019#L01;0292258X
087933P012X4523595160002145235951600021-91086#L01;0911826R
087935P011X1894091050001318940910500013-93006#L01;0932119Y
087935P012X1831090730003519820001600014-82013#L01;0820001F
087935P012X1859216160005718592161600057-59350#L01;0595786U
087935P012X1913005320002219130053200022-13211#L01;0130057S
087935P012X1935003030003019350030300030-35238#L01;0352660B
087935P012X1954004290002119540042900021-54395#L01;0540042C
087935P012X1975067690001119750676900011-75111#L01;0750676C
0879371211913320630002019133206300020-13117#L01;0133015G
087937P012X1859216160005718592161600057-62510#L01;0620113L 
087937P012X1859216160005718592161600057-62525#L01;0622803K
087937P012X1876090940002918760909400045-76351#L01;0760058A 
087937P012X1887370350002518873703500025-87085#L01;0870118F 
087937P012X1913320630002019133206300020-13117#L01;0133015G
087937P012X1954007670002419540076700024-54273#L01;0540076P
087937P012X1956002670004919560026700049-56121#L01;0561958Z
087937P012X3510908400001535109084000015-33351#L01;0333206F
087937P012X4026704000007440267040000074-75113#L01;0750685M 
087937P012X8778455370001987784553700019-13004#L01;0133837A 
087939P012X1831090730003519310028600015-31451#L01;0310028M
087939P012X1933002330003119330023300031-40279#L01;040002X
087939P012X1954004290002119540042900021-54304#L01;0542262R
087939P012X1988015320004719880153200047-88383#L01;0880153N
087939P012X3944545160002934835568600067-25056#L01;0251021Z
087939P012X8208152800001282081528000012-35051#L01;0350793X
08794112X1984000530002319840005300023-84007#L01;0840005Z 
087941P01111942004240002719420079600010-42218#L01;0420079H
087941P01117799048380006619693478000012-69290#L01;0693478F
087941P012X1300237400043913002374000272-59515#L01;0597044L 
087941P012X1831090730003519310050000035-31555#L01;0310052N
087941P012X1859216160005718592161600057-59378#L01;0590144L
087941P012X1897290560001118972905600011-97213#L01;9720695Y
087941P012X1897401110014218974011100142-97416#L01;9740988F
087941P012X1908000860002619080008600026-08409#L01;0080047H
087941P012X1913320630002019133206300020-13077#L01;0130150T
087941P012X1949000310002319490003100023-49307#L01;0490013Y
087941P012X1954004290002119540042900021-54395#L01;0540081V
087941P012X1956002670004919560026700049-56121#L01;0561958Z
087941P012X1984000530002319840005300023-84007#L01;0840005Z 
087941P012X4853882010004148538820100041-35236#L01;0350791V
087941P012X5001380290002950013802900029-02173#L01;0021906L 
087941P012X7757008420001377570084200013-76429#L01;0762312A
087941P012X7781277530001177812775300011-54025#L01;0542295B
087941P012X7846625530016278466255300089-92040#L01;0922653J
087941P012X7846625530016278466255300147-77487#L01;0772715H
087941P012X8208152800001282081528000012-35051#L01;0350793X
08795712X1984000530002319840005300023-84007#L01;0840005Z
087957P012X1859216160005718592161600057-59378#L01;0590144L
087957P012X1913005320002219130053200022-13214#L01;0130056R 
087957P012X1931004430002019310050000035-31555#L01;0312759F
087957P012X1956002670004919560026700049-56121#L01;0561958Z
087957P012X1957005700003719570057000037-57663#L01;0572590F
087957P012X1984000530002319840005300023-84007#L01;0840005Z
087957P012X7781277530001177812775300011-54025#L01;0542295B
087959P012X7781277530001177812775300011-54025#L01;0542295B
0879611211913320630002019133206300020-13047#L01;0132276D 
087961P012X1859216160005718592161600057-59606#L01;0595809U  
087961P012X1876090940002918760909400045-76351#L01;0760058A 
087961P012X1887370350002518873703500025-87085#L01;0870118F
087961P012X1913320630002019133206300020-13047#L01;0132276D 
087961P012X1933002330003119330023300031-40001#L01;0400002K
087961P012X3432195560002834321955600028-69199#L01;0693328T 
087961P012X3495860990002134958609900021-57757#L01;0572698Y
087961P012X3904824200002839048242000028-35360#L01;0352927S
087961P012X4026704000007440267040000074-75113#L01;0751710B 
087965P012X1831090730003519090013400015-09194#L01;0090013R
