IDCC;Opérateur de compétences;Libellé;obs
959;OPCO entreprises de proximité;Convention collective nationale des laboratoires de biologie médicale extra-hospitaliers;
992;OPCO entreprises de proximité;Convention collective nationale de la boucherie, boucherie-charcuterie et boucherie hippophagique, triperie, commerce de volailles et gibiers;
993;OPCO entreprises de proximité;Convention collective nationale des prothésistes dentaires et des personnels des laboratoires de prothèse dentaire;
998;OPCO 2i;Convention collective nationale des ouvriers, employés, techniciens et agents de maîtrise de l'exploitation d'équipements thermiques et de génie climatique;
1000;OPCO entreprises de proximité;Convention collective nationale du personnel des cabinets d'avocats;
1001;OPCO Santé;Convention collective nationale des médecins spécialistes qualifiés au regard du conseil de l'ordre travaillant dans des établissements et services pour personnes inadaptées et handicapées;
1016;AFDAS;Convention collective des cadres et agents de maîtrise de l'édition de musique;
1018;AFDAS;Convention collective des cadres techniques de la presse quotidienne départementale française;
1031;OPCO Cohésion sociale;Convention collective nationale de la fédération nationale des associations familiales rurales (FNAFR);
1043;OPCO entreprises de proximité;Convention collective nationale des gardiens, concierges et employés d'immeubles;
1044;OPCO 2i;Convention collective nationale de l'horlogerie;
1077;OCAPIAT;Convention collective nationale entreprises du négoce et de l'industrie des produits du sol, engrais et produits connexes;
1083;AFDAS;Convention collective de travail des ouvriers de la presse quotidienne départementale;
1090;OPCO Mobilité;Convention collective nationale des services de l'automobile (commerce et réparation de l'automobile, du cycle et du motocycle, activités connexes, contrôle technique automobile, formation des conducteurs auto-écoles CNPA);
1147;OPCO entreprises de proximité;Convention collective du personnel des cabinets médicaux (médecin);
1170;OPCO 2i;Convention collective nationale de l'industrie des tuiles et briques (CCNTB);
1182;OPCO Mobilité;Convention collective nationale des personnels des ports de plaisance;
1194;AFDAS;Convention collective nationale des employés de l'édition de musique;
1256;OPCO 2i;Convention collective nationale des cadres, ingénieurs et assimilés des entreprises de gestion d'équipements thermiques et de climatisation;
1261;OPCO Cohésion sociale;Convention collective nationale des acteurs du lien social et familial : centres sociaux et socioculturels, associations d'accueil de jeunes enfants, associations de développement social local (SNAECSO);
1266;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale du personnel des entreprises de restauration de collectivités;
1267;OPCO entreprises de proximité;Convention collective nationale de la pâtisserie;
1278;OPCO Cohésion sociale;Convention collective nationale des personnels PACT et ARIM (centres pour la protection l'amélioration et la conservation de l'habitat et associations pour la restauration immobilière);
1281;AFDAS;Convention collective des employés de la presse hebdomadaire régionale;
1285;AFDAS;Convention collective nationale pour les entreprises artistiques et culturelles (SYNDEAC);
1286;OPCO entreprises de proximité;Convention collective nationale des détaillants, détaillants-fabricants et artisans de la confiserie, chocolaterie, biscuiterie;
1307;AFDAS;Convention collective nationale de l'exploitation cinématographique;
1311;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale de la restauration ferroviaire;
1314;OPCO Commerce;"Convention collective nationale des maisons d'alimentation à succursales, supermarchés, hypermarchés, ""gérants mandataires"" (grande distribution)";
1316;OPCO Cohésion sociale;Convention collective nationale des organismes de tourisme social et familial;
1351;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale des entreprises de prévention et de sécurité;
1383;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale des commerces de quincaillerie, fournitures industrielles, fers, métaux et équipement de la maison, employés et personnels de maîtrise;
1388;OPCO 2i;Convention collective nationale de l'industrie du pétrole;
