IDCC;Opérateur de compétences;Libellé;obs
5521;OPCO Mobilité;Convention collective nationale du personnel navigant d'exécution du transport maritime;
5554;OPCO Mobilité;Convention collective nationale des officiers du remorquage maritime;
5555;OPCO Mobilité;Convention collective nationale des navigants d'exécution du remorquage maritime;
5556;OPCO Mobilité;Convention collective nationale des personnels officiers des passages d'eau;
5557;OPCO Mobilité;Convention collective nationale des personnels navigants d'exécution des passages d'eau;
5619;OCAPIAT;Convention collective nationale de la pêche professionnelle maritime;
7001;OCAPIAT;Convention collective nationale des coopératives et SICA de production, transformation et vente du bétail et des viandes;
7002;OCAPIAT;Convention collective nationale des coopératives et SICA de céréales, de meunerie, d'approvisionnement et d'alimentation du bétail et d'oléagineux;
7003;OCAPIAT;Convention collective nationale des coopératives agricoles, union de coopératives agricoles et SICA fabriquant des conserves de fruits et de légumes, des plats cuisinés et des spécialités;
7004;OCAPIAT;Convention collective nationale des coopératives laitières, unions de coopératives laitières et SICA laitières;
7005;OCAPIAT;Convention collective nationale des caves coopératives et de leurs unions élargie aux SICA vinicoles;
7006;OCAPIAT;Convention collective nationale des coopératives, unions de coopératives agricoles et SICA de fleurs, de fruits et légumes et de pommes de terre;
7007;OCAPIAT;Convention collective nationale des coopératives, unions de coopératives agricoles et SICA de teillage de lin;
7008;OCAPIAT;Convention collective nationale du personnel des organismes de contrôle laitier;
7009;OCAPIAT;Convention collective nationale des entreprises d'accouvage et de sélection de produits avicoles;
7010;OCAPIAT;Convention collective nationale du personnel des élévages aquacoles;
7012;OCAPIAT;Convention collective nationale des centres équestres;
7013;OCAPIAT;Convention collective nationale des établissements d'entraînement des chevaux de courses au trot;
7014;OCAPIAT;Convention collective nationale des établissements d'entraînement des chevaux de courses au galop;
7017;OCAPIAT;Convention collective nationale des parcs et jardins zoologiques ouverts au public;
7018;OCAPIAT;Convention collective nationale des entreprises du paysage;
7019;OCAPIAT;Convention collective nationale de la conchyliculture;
7020;OCAPIAT;Convention collective nationale du réseau des centres d'économie rurale;
7021;OCAPIAT;Convention collective nationale des entreprises relevant de la sélection et de la reproduction animale;
7023;OCAPIAT;Entreprises agricoles de déshydratation;
7501;OCAPIAT;Convention collective nationale des caisses régionales du crédit agricole;
7502;OCAPIAT;Convention collective nationale de la Mutualité sociale agricole;
7503;OCAPIAT;Convention collective nationale des distilleries coopératives viticoles et SICA de distillation;
7508;OCAPIAT;Convention collective nationale des Maisons familiales rurales, instituts ruraux et centres;
7509;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale des organismes de formation et de promotion agricoles;
7513;OCAPIAT;Convention collective nationale des centres d'initiatives pour valoriser l'agriculture et le milieu rural;
7514;OCAPIAT;Convention collective nationale des organismes de la Confédération paysanne;
7515;OCAPIAT;Convention collective nationale des sociétés d'aménagement foncier et d'établissement rural (SAFER);
7520;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale de l'enseignement agricole privé (CNEAP);
8115;OCAPIAT;Convention collective régionale des hippodromes Île-de-France Cabourg Caen Chantilly Deauville;
8435;OCAPIAT;Convention collective régionale des coopératives fruitières Ain Doubs Jura;
N.A.;OPCO 2i;Accord national du 16 janvier 1979 sur le champ d'application des accords nationaux de la métallurgie;
na;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Secteur des exploitations forestières et scieries;
na;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Secteur des propriétés forestières;
;;;
;;;
